NombreEstacion,NumeroEstacion,Latitud,Longitud,Localidad1,Localidad2,UbicacionEstacion
AV. Cali,4003,4.70249985,-74.10025325,Engativá,-,Carrera 86
Venecia,7004,4.59571313,-74.14159012,Kennedy,Tunjuelito,AutoSur-Av 54
Carrera 53,4105,4.68193956,-74.07736461,Barrios Unidos,-,Carrera 53
Simón Bolívar,7104,4.65706335,-74.07775374,Barrios Unidos,-,Kr 30 CL 63
Portal de la 80,4000,4.70952296,-74.11052456,Engativá,-,Carrera 96
Marly,9118,4.63951515,-74.06637045,Chapinero,Teusaquillo,Calle 51 - Calle 49
Calle 63,9120,4.64874321,-74.06458735,Chapinero,Teusaquillo,Calle 63 - Calle 60
SENA,7009,4.597543,-74.11020509,Antonio Nariño,Puente Aranda,AutoSur-Cl 17 S
Portal del Sur,7000,4.59581727,-74.17003806,Bosa,-,AutoSur-Kr 82
Ricaurte - NQS,7111,4.61367605,-74.09211642,Los Mártires,Puente Aranda,Kr 30 Cl 10
Alcalá,2200,4.72076577,-74.05144057,Usaquén ,Suba,Calle 137
AV. 68,4104,4.68580261,-74.08035668,Engativá,-,Carrera 60
Calle 187,2001,4.76178408,-74.04472315,Usaquén,Suba,Calle 184
Salitre - El Greco,6102,4.65130342,-74.10185856,Teusaquillo,-,Carrera 66
Héroes,2304,4.66689435,-74.06050012,Chapinero,Barrios Unidos,Calle 80
Las Aguas,14005,4.60266984,-74.06817769,La Candelaria,Santa Fé,carrera 4
Museo del Oro,14004,4.60118385,-74.07295785,La Candelaria,Santa Fé,carrera 2
Polo,4108,4.67224842,-74.06583827,Barrios Unidos,-,Transversal 27
Calle 34,9115,4.62221301,-74.06958764,Santa Fé,Teusaquillo,Avenida Calle 34 - Calle 3
Alquería,7005,4.59437209,-74.13441089,Tunjuelito,Puente Aranda,AutoSur-Kr48
Nariño,9106,4.58629883,-74.0938266,Antonio Nariño,-,Calle 8 Sur - Calle 11 Sur
Puentelargo,3010,4.69319361,-74.06707121,Suba,-,Av Suba Tv 48
Calle 100,2300,4.68434548,-74.05750794,Barrios Unidos,Chapinero,Calle 97
Biblioteca Tintal,5002,4.63996012,-74.15698977,Kennedy,-,av.Cali - Calle 26 sur
Suba - TV. 91,3002,4.73820209,-74.08603261,Suba,-,Av Suba Kr 90
Calle 40 S,9100,4.57596786,-74.11952549,Rafael Uribe Uribe,-,Calle 38 Sur - Calle 40 Su
Madelena,7002,4.59624121,-74.15725663,Bosa ,Ciudad Bolivar,AutoSur-Kr67
Flores,9121,4.65471326,-74.06308827,Chapinero,Barrios Unidos,Calle 69  - Calle 67
Calle 57,9119,4.64379318,-74.0655874,Chapinero,Teusaquillo,Calle 57 - Calle 54
Modelia,6001,4.67432269,-74.11675293,Engativá,Fontibón,Carrera 84
Calle 26,9114,4.61617136,-74.07241326,Santa Fé,Teusaquillo,Avenida Calle 28 - Calle 2
Perdomo,7001,4.59568824,-74.16341884,Bosa,Ciudad Bolivar,AutoSur-Kr78C
AV. Chile,7103,4.66689641,-74.07398957,Barrios Unidos,-,Kr 30 Cl 72
Gobernación,6104,4.64263932,-74.09621841,Teusaquillo,-,Carrera 54
Restrepo,9104,4.58176282,-74.10152688,Antonio Nariño,-,Calle 19 Sur - Av. 1 de M
El Tiempo - Maloka,6101,4.65590347,-74.10508264,Engativá,Fontibón,carrera 68d
Hortúa,9107,4.59079985,-74.09021346,Antonio Nariño,-,Calle 1 Sur - Calle 3 Sur
CDS - Carrera 32,12002,4.6173591,-74.0951455,Puente Aranda,-,Av. Americas -Carrera 32
